period,n,majority_regime,majority_share,stress_share,disagreement_share,macro_g,macro_i,market_g,market_i,final_g,final_i
2008 GFC,87,Slowdown / Deflationary Slowdown + Stress Overlay,0.6781609195402298,0.6781609195402298,0.5747126436781609,-0.8195582520915953,0.131068809954316,-0.5858104240079894,-0.8304280641020324,-0.6909969466456123,-0.445829314479493
2009-10 Recovery,325,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.6615384615384615,0.0,0.5138461538461538,-0.47801908123895226,-0.33391592372476425,0.31974880747622914,0.10169014652222755,-0.039246742445602445,-0.07255228157656919
2011 Euro / US downgrade,131,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.7786259541984732,0.0,0.40458015267175573,0.3441342287295577,-0.22863999566885007,-0.2506409611863514,-0.10341222747542363,0.017007874275807675,-0.1535033347527942
2014-16 Oil collapse,413,Neutral/Mixed Growth / Down Inflation,0.5447941888619855,0.06537530266343826,0.23002421307506055,0.1661796770093792,-0.5601652272010987,-0.2396410123947356,-0.3190445670111244,-0.05702170216288396,-0.4154928310871141
2017 Soft landing,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.46153846153846156,0.0,0.3269230769230769,0.17755576408950396,-0.40243532439120416,0.17250632978638872,0.1906163063812112,0.17477857522279056,-0.046604345927754955
2018 Q4 Selloff,65,Slowdown / Deflationary Slowdown,0.4153846153846154,0.0,0.0,0.127707116284786,-0.13441746608484248,-0.5001731475499791,-0.35519978773766003,-0.2176270288243348,-0.26688685907653303
2020 COVID shock,53,Slowdown / Deflationary Slowdown + Stress Overlay,0.6981132075471698,0.6981132075471698,0.0,-0.24231787796877058,-0.3120158703907591,-0.5690689189670693,-0.6747111863542792,-0.422030950517835,-0.5296330599688712
2020H2-21 Reopening,392,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.4897959183673469,0.0,0.38010204081632654,0.10833285834956832,-0.14455013702975708,0.2061529398858143,0.2947573110673242,0.16213390319450363,0.11903433182849171
2022 Inflation / Tightening,260,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5769230769230769,0.0,0.7307692307692307,0.31038787953135494,0.5720066752918467,-0.2422715002421828,0.015624866323489046,0.006425220655909184,0.23817758991083213
2023-24 Disinflation,413,Neutral/Mixed Growth / Neutral/Mixed Inflation,0.5569007263922519,0.0,0.3389830508474576,-0.023866430509304783,0.5134606460096025,0.13332038512571265,-0.11020194214244071,0.06258631808995481,0.13926309311837662
2025 Tariff shock (Apr),21,Down Growth / Neutral/Mixed Inflation + Stress Overlay,0.5714285714285714,0.6190476190476191,0.23809523809523808,0.04367935605292626,0.2546972702275468,-0.6187100640126729,-0.2969127982135352,-0.32063482498315327,-0.0762687708371024
2026 YTD,89,Neutral/Mixed Growth / Up Inflation,0.5730337078651685,0.0,0.0,0.017769405718111808,0.16209298794637397,-0.17998630651320535,0.4947776563245847,-0.09143880184059305,0.3711425583501461
